,meanP,stdP
A Ratio_20,107.5700352183205,58.844444725551455
B Ratio_20,108.88688461151062,402.6025633672054
Aroon_20 Up,47.95476723494633,36.34796490696121
Down,48.62704016225628,35.99735121852858
Aroon Osillator_20,-0.6722729273099516,63.63492422985963
BB-RSI_종가_10,49.966802181368514,15.400120208027522
BB-RSI_20_2.00 상한,67.6597561152115,12.974785539443
BB-RSI 하한,32.37775035846987,14.31791572942153
Chande Momentum Oscillator_10,0.21862752663783994,40.92073361303023
"Chaikin's Volatility_14,14",5.297321361325409,162.78953804068118
CompuTrac Volatility_10,104.43714621732111,101.134367086677
+DI_14,22.24590015139351,9.810114791648772
-DI_14,22.06720618054652,8.154127869008853
+DI(simple)_14,22.178057626536468,11.9306747106016
-DI(simple)_14,21.942988032703898,10.522035785128198
Energy+_14,111.29671956492723,89.68497266868286
Energy-_14,112.51823989640056,65.93568525029401
High Low Oscillator_3,0.5106144482033338,0.36874440301520256
"Inertia_20,14,10",50.27668059913602,13.209193502332296
"Linear Trend Oscillator_10,20",-0.3583155092435765,99.45159463545721
Open Difference_15,-23.1878384325431,3159.2634614160734
"Random Walk Index_15,3",4.873132740179583,2.2456333993665725
RCI_5,-0.49633583988672675,68.90454559534557
RCI_9,-0.4886583242446675,65.0335558457445
RCI_13,-0.6361527801169409,64.49574466213484
RCI_18,-0.9109420724312615,64.58071040926467
"Relative Volatility Index_단순,14,10",50.25864356159731,14.938507698069207
Reverse 단기_12,0.23064066462802585,49.395119571880294
 장기_24,0.6641244645261414,40.08293364636309
"RSI_종가,14",49.93113636618403,13.455298664728206
"RSI(simple)_종가,14",50.120279529217974,17.840493935306178
"Sigma_종가,20",-0.023544297676513115,1.341274724915499
"SMI_5,3,3",-0.7228222089724876,44.86043844077912
Fast %K_5,49.746053407320886,30.737720150081383
Fast %D_3,49.75754355067732,25.705375102212695
"Slow %K_5,3",49.74285668193041,26.076727108824098
Slow %D_3,49.749432990279495,24.244213674734574
"Slow(Simple) %K_5,3",49.75608045585725,24.434044894576065
Slow(Simple) %D_3,49.76536219692957,21.550693333783514
"StochOsc_5,3",-0.01149014335555147,18.231780257375128
"TRIX기울기_종가,14",-7.10458983493703e-05,0.030828960015034792
"TSF Oscillator_종가,14,28",-10.77590016978941,6552.898823955292
VHF_14,0.434627167638374,0.14806492518088524
CCI_14,-1.8509955107082359,109.8036229759192
